ID;Identity;FamilyName;MaidenName;FirstNames;Sex;BirthDate;BirthLocation;DeathDate;DeathLocation;Nationality;Masters;MedallistAt;FirstMedal_Date;FirstMedal_Class;SecondMedal_Date;SecondMedal_Class;ThirdMedal_Date;ThirdMedal_Class;FourthMedal_Date;FourthMedal_Class;FifthMedal_Date;FifthMedal_Class;AcadémieBeauxArts_ElectionDate;LegionHonneur_ChevalierDate;LegionHonneur_OfficierDate;LegionHonneur_CommandeurDate
541;Achard, Jean-Alexis;Achard;;Jean Alexis;Man;1807;Voreppe;1884;Grenoble;French;;"Salon de 1848; Salon de 1855";1844;3rd class medal;1845;2nd class medal;1848;Rappel of 2nd class medal;1855;3rd class medal;;;;;;
1;Achenbach, Oswald;Achenbach;;Oswald;Man;1827;Düsseldorf;1905;Düsseldorf;German;;"Salon de 1859; Salon de 1861; Salon de 1863";1859;3rd class medal;1861;2nd class medal;1863;Rappel of 2nd class medal;;;;;;1863;;
2;Adan, Louis-Émile;Adan;;Louis Emile;Man;1839;Paris;1937;;French;"Picot, François Edouard; Cabanel, Alexandre";Salon de 1875;1875;3rd class medal;;;;;;;;;;1892;;
3;Alma Tadema, Lawrence;Alma Tadema;;Laurens;Man;1836;Dronrijp;1902;;Dutch;"Wappers, Gustaf; Keyser, Nicaise de; Leys, Henri";Salon de 1864;1864;Unique medal;;;;;;;;;;;;
4;Anastasi, Auguste;Anastasi;;Auguste Paul Charles;Man;1820;Paris;1889;Paris;French;"Picot, François Edouard; Delaroche, Paul; Corot, Camille";"Salon de 1848; Salon de 1852; Salon de 1865";1848;2nd class medal;1852;3rd class medal;1865;Unique medal;;;;;;1868;;
5;Anker, Albert;Anker;;Albert;Man;1831;Anet;1910;Berne;Swiss;Gleyre, Charles;Salon de 1866;1866;Unique medal;;;;;;;;;;1878;;
6;Antigna, Alexandre;Antigna;;Jean-Pierre Alexandre;Man;1817;Orléans;1878;;French;"Delaroche, Paul; Norblin, Sebastien";"Salon de 1848; Salon de 1850-1851; Salon de 1855";1847;3rd class medal;1848;2nd class medal;1851;1st class medal;1855;3rd class medal;;;;1861;;
543;Apoil, Estelle;Apoil;Béranger;Estelle Suzanne;Woman;1825;Sèvres;1892;;French;Béranger, Antoine;Salon de 1848;1846;3rd class medal;1848;2nd class medal;;;;;;;;;;
7;Appian, Adolphe;Appian;;Adolphe;Man;1818;Lyon;1898;Lyon;French;"Corot, Camille; Grobon, Michel; Thierrat, Augustin Alexandre; Daubigny, François";Salon de 1868;1868;Unique medal;;;;;;;;;;1892;;
8;Armand-Dumaresq, Édouard;Armand-Dumaresq;;Charles Edouard;Man;1826;Paris;1895;Paris;French;Couture, Thomas;"Salon de 1861; Salon de 1863";1861;1st class medal;1863;Rappel of 1st class medal;;;;;;;;1867;1881;
9;Aubert, Jean;Aubert;;Jean Ernest;Man;1824;Paris;1906;Paris;French;"Delaroche, Paul; Martinet, Achille; Gleyre, Charles";"Salon de 1861; Salon de 1878";1857;Gravure;1859;Gravure;1861;3rd class medal;1878;2nd class medal;;;;;;
10;Aublet, Albert;Aublet;;Albert;Man;1851;Paris;1938;;French;"Jacquand, Claudius; Gérôme, Jean Léon";Salon de 1880;1880;3rd class medal;1889;1st class medal;;;;;;;;1890;;
11;Auguin, Louis-Auguste;Auguin;;Louis Auguste;Man;1824;Rochefort-sur-mer;1903;Bordeaux;French;"Corot, Camille; Coignet, Jules";Salon de 1880;1880;3rd class medal;1884;2nd class medal;;;;;;;;1894;;
12;Aze, Adolphe;Aze;;Valdère Adolphe Louis;Man;1823;Paris;1884;Paris;French;Robert-Fleury, Joseph Nicolas;"Salon de 1850-1851; Salon de 1863";1851;3rd class medal;1863;Rappel of 3rd class medal;;;;;;;;;;
13;Baader, Louis-Marie;Baader;;Louis Marie;Man;1828;Lannion;1920;Morlaix;French;Yvon, Adolphe;"Salon de 1866; Salon de 1874";1866;Unique medal;1874;3rd class medal;;;;;;;;;;
14;Badin, Jules;Badin;;Jules;Man;1843;Paris;1919;;French;"Cabanel, Alexandre; Baudry, Paul";Salon de 1877;1877;3rd class medal;;;;;;;;;;;;
15;Ballavoine, Jules;Ballavoine;;Jules Frédéric;Man;1844;Paris;1901;;French;Pils, Isidore;Salon de 1880;1880;3rd class medal;;;;;;;;;;;;
16;Balleroy de, Albert;Balleroy de;;Albert Felix Justin;Man;1828;Lonné;1873;;French;Schmitz, M.;Salon de 1867;1867;Unique medal;;;;;;;;;;;;
17;Balze, Paul;Balze;;Jean Paul Etienne;Man;1815;Rome;1884;Pavia;French;Ingres, Dominique;Salon de 1863;1863;3rd class medal;;;;;;;;;;1873;;
18;Barillot, Léon;Barillot;;Léon;Man;1844;Montigny les Metz;1929;Paris;French;"Cathelinaux, Christophe; Bonnat, Léon";Salon de 1880;1880;3rd class medal;1884;2nd class medal;;;;;;;;1895;;
544;Baron, Henri;Baron;;Henri Charles Antoine;Man;1816;Besançon;1885;Genève;French;Gigoux, Jean François;"Salon de 1848; EU de 1855";1847;3rd class medal;1848;2nd class medal;1855;3rd class medal;;;;;;;;
19;Barrias, Félix;Barrias;;Felix Joseph;Man;1822;Paris;1907;Paris;French;Cogniet, Léon;"Salon de 1850-1851; Salon de 1855";1847;3rd class medal;1851;1st class medal;1855;2nd class medal;;;;;;1859;1897;
20;Bastien-Lepage, Jules;Bastien-Lepage;;Jules;Man;1848;Damvilliers;1884;Paris;French;"Cabanel, Alexandre; Fouquet, A.";"Salon de 1874; Salon de 1875";1874;3rd class medal;1875;2nd class medal;;;;;;;;1879;;
21;Baudit, Amédée;Baudit;;Amédée;Man;1826;Genève;;;Swiss;Diday, François;"Salon de 1859; Salon de 1861";1859;3rd class medal;1861;Rappel of 3rd class medal;;;;;;;;;;
22;Baudry, Paul;Baudry;;Paul Jacques Aimé;Man;1828;Napoléon Vendée;1886;Paris;French;"Sartoris, Antoine; Drolling, Martin";Salon de 1875;1857;1st class medal;1861;Rappel of 1st class medal;1881;Medal of honour;;;;;1870;1861;1869;1875
23;Beaucé, Jean-Adolphe;Beaucé;;Jean Adolphe;Man;1818;Paris;1875;Boulogne;French;Bazin, Charles;Salon de 1861;1861;2nd class medal;;;;;;;;;;1864;;
24;Beaulieu, Anatole de;Beaulieu;;Anatole Henri de;Man;1819;Paris;1884;Paris;French;Delacroix, Eugène;Salon de 1868;1868;Unique medal;;;;;;;;;;;;
25;Beaumetz, Étienne;Beaumetz;;Henri Charles Etienne;Man;1852;Paris;1913;Limoux;French;"Cabanel, Alexandre; Roux, Louis";Salon de 1880;1880;3rd class medal;;;;;;;;;;;;
26;Beaumont de, Édouard de;Beaumont de;;Charles François Edouard;Man;1821;Lannion;1888;Paris;French;Boisselier, Antoine Felix;"Salon de 1870; Salon de 1873";1870;Unique medal;1873;2nd class medal;;;;;;;;1877;;
