UK;Artist;Title;SalonDate;SalonNumber;MedalClass;Genre;Technique;Format (WxL);CurrentLocation
305;Achard, Jean-Alexis;Vue prise aux environs de Grenoble;1848;6;Rappel of 2nd class medal;Landscape;;;
302;Achard, Jean-Alexis;Moulin aux environs de Crémieu (Isère);1848;7;Rappel of 2nd class medal;Landscape;;;
306;Achard, Jean-Alexis;Vue prise sur la route de Crémieu à Saint-Julien (Isère);1848;8;Rappel of 2nd class medal;Landscape;;;
304;Achard, Jean-Alexis;Vue de la gorge de la Fusa, à Crémieu;1848;9;Rappel of 2nd class medal;Landscape;;;
303;Achard, Jean-Alexis;Rochers aux environs de Crémieu;1848;10;Rappel of 2nd class medal;Landscape;;;
19;Achenbach, Oswald;Le môle de Naples;1859;12;3rd class medal;Landscape;Oil on canvas;172cm x 108cm;Paris, musée d'Orsay
20;Achenbach, Oswald;Fête religieuse et convoi funèbre à Palestrina, près Rome;1861;10;2nd class medal;Genre Painting;Oil on canvas;108cm x 135cm;
21;Achenbach, Oswald;Pèlerins des Abruzzes surpris par l’orage, vue prise à Civita-Castellana;1861;11;2nd class medal;Genre Painting;;;
2602;Achenbach, Oswald;"Bords de la mer à Naples ; soleil couchant";1863;;Rappel of 2nd class medal;Landscape;;;
2603;Achenbach, Oswald;"Le Môle de Naples ; soleil couchant";1863;;Rappel of 2nd class medal;Landscape;;;
2604;Achenbach, Oswald;Ruines du palais de la reine Jeanne, à Naples. Effet du soir;1863;;Rappel of 2nd class medal;Landscape;;;
521;Adan, Louis-Émile;Un dernier jour de vente;1875;6;3rd class medal;Genre Painting;;;
22;Alma Tadema, Lawrence;Les Egyptiens de la XVIIIe dynastie;1864;29;Unique medal;History Painting;Oil on canvas;135cm x 99cm;Preston, Harris Museum and Art Gallery
312;Anastasi, Auguste;Pacage du Calvados;1848;52;2nd class medal;Landscape;;;
308;Anastasi, Auguste;Bords de la Touque;1848;53;2nd class medal;Landscape;;;
309;Anastasi, Auguste;"Etude près la mare aux Corneilles, forêt de Fontainebleau ; effet d'automne";1848;54;2nd class medal;Landscape;;;
307;Anastasi, Auguste;"Allée de parc ; étude d'après nature";1848;55;2nd class medal;Landscape;;;
315;Anastasi, Auguste;"Une lande ; étude prise à Fontainebleau";1848;56;2nd class medal;Landscape;Oil on wood;74cm x 52cm;Besançon, musée des beaux-arts
311;Anastasi, Auguste;"Intérieur de forêt ; étude";1848;57;2nd class medal;Landscape;;;
313;Anastasi, Auguste;"Passage de la Dive (en Normandie) ; effet du matin";1848;58;2nd class medal;Landscape;;;
314;Anastasi, Auguste;"Saulée ; étude";1848;59;2nd class medal;Landscape;;;
310;Anastasi, Auguste;"Forêt de charmes ; étude en automne";1848;60;2nd class medal;Landscape;;;
317;Anastasi, Auguste;Saison des foins;1852;13;3rd class medal;Landscape;;;
316;Anastasi, Auguste;La Seine à Chatou;1852;14;3rd class medal;Landscape;;;
319;Anastasi, Auguste;Rome : le Forum au soleil couchant;1865;35;Unique medal;Landscape;Oil on canvas;183cm x 95cm;Angers, musée des beaux-arts
318;Anastasi, Auguste;Rome : bords du Tibre;1865;36;Unique medal;Landscape;;;
